Geography,TotalHouseholds,AverageHouseholdSize,FamilyHouseholds_Percent,HighSchool_or_Higher_Percent,RESIDENCE_1YEARSameHouse_Percent,DrugReports
"Ohio County, West Virginia",95330,3.05,74.7,93.5,86.2,92
"Oldham County, Kentucky",13253,2.43,73.3,80.6,91.1,51
"Orange County, Virginia",4515,2.64,66.5,71.5,91.6,39
"Ottawa County, Ohio",5213,2.56,76.8,80.4,89.9,25
"Owen County, Kentucky",3773,2.37,72.3,84.5,92.6,15
"Owsley County, Kentucky",12594,2.48,64.4,75.2,91.1,10
"Page County, Virginia",4303,2.46,73.5,87.6,90.2,42
"Patrick County, Virginia",34369,2.34,56.1,88.1,69.1,39
"Paulding County, Ohio",6534,2.28,69.2,77.7,87,8
"Pendleton County, Kentucky",6513,2.6,79.4,86.3,87,36
"Pendleton County, West Virginia",5088,2.43,63,78,92.1,0
"Perry County, Kentucky",5478,2.27,67.5,84.1,94.7,331
"Perry County, Ohio",5607,2.72,70.6,72.8,86.3,100
"Perry County, Pennsylvania",12669,2.52,73.5,83.5,85.5,43
"Petersburg city, Virginia",9629,2.48,67.8,72.5,89.8,23
"Philadelphia County, Pennsylvania",7344,2.5,69.3,74.1,91.4,6259
"Pickaway County, Ohio",26563,2.34,70.3,76,89.9,171
"Pike County, Kentucky",8637,2.46,79.1,79.3,84.7,191
"Pike County, Ohio",7314,2.66,62.2,81.2,80.9,90
"Pike County, Pennsylvania",10474,2.83,79.5,86.1,81.6,53
"Pittsylvania County, Virginia",124879,3,77.2,88.4,83.1,16
"Pleasants County, West Virginia",14898,2.27,67.1,79.1,85.4,0
"Pocahontas County, West Virginia",3163,2.33,68,79.8,91.6,17
"Poquoson city, Virginia",3007,2.58,63.6,74.6,86.9,9
"Portage County, Ohio",37833,2.37,67.8,89.7,86.1,222
"Portsmouth city, Virginia",9372,2.37,70.3,79.6,89.9,240
"Potter County, Pennsylvania",29701,2.45,73,77.9,87.9,28
"Powell County, Kentucky",11529,2.5,70.3,71.4,90.3,104
"Powhatan County, Virginia",9610,2.37,69.2,73.6,92.3,34
"Preble County, Ohio",17316,2.39,67.2,82.7,85.6,33
"Preston County, West Virginia",12992,2.41,67.6,75.7,83.9,13
"Prince Edward County, Virginia",6571,2.58,70.9,73.4,91.3,29
"Prince George County, Virginia",41009,2.91,78.4,88.5,87.1,21
"Prince William County, Virginia",40183,3.01,81.2,91.5,83.4,294
"Pulaski County, Kentucky",2481,2.84,67.6,78.8,92.8,324
"Pulaski County, Virginia",3796,2.86,61.7,67.8,92.4,222
"Putnam County, Ohio",18015,2.45,71.8,75.6,88.8,5
"Putnam County, West Virginia",14160,2.58,69,83.3,88.6,33
"Radford city, Virginia",22711,2.33,70.8,80.4,87.9,32
"Raleigh County, West Virginia",7135,2.42,65.8,76.5,89,183
"Randolph County, West Virginia",15750,2.48,69.3,70.3,85.6,1
"Rappahannock County, Virginia",11665,2.46,68.2,77,89.6,21
"Richland County, Ohio",24002,2.61,78.6,94.5,84.1,180
"Richmond city, Virginia",63738,2.08,45.5,90.9,78,599
"Richmond County, Virginia",2782,2.21,62.1,84.5,87.1,0
"Ritchie County, West Virginia",7948,2.17,61.6,79.8,79.8,2
"Roane County, West Virginia",2693,2.43,67.1,72.8,76.3,4
"Roanoke city, Virginia",17290,2.22,40.8,85.2,65,0
"Roanoke County, Virginia",78778,2.73,75.7,89.3,86.3,317
"Robertson County, Kentucky",7075,2.46,64.4,88.1,89.3,6
"Rockbridge County, Virginia",2641,2.27,57.9,80.9,79,19
"Rockcastle County, Kentucky",19448,2.14,60.5,75.8,81.8,106
"Rockingham County, Virginia",2406,2.36,56.4,71.6,90.2,66
"Ross County, Ohio",8524,2.52,66,93.1,83.4,457
"Rowan County, Kentucky",4706,2.44,62.3,95.7,79.8,188
"Russell County, Kentucky",3524,2.36,67.8,76.1,84.7,34
"Russell County, Virginia",9206,2.27,48.8,86.6,76.1,135
"Salem city, Virginia",3326,1.95,52.3,73.5,84,42
"Sandusky County, Ohio",53283,2.54,62.5,88.6,83.6,20
"Schuylkill County, Pennsylvania",14965,2.56,49.6,77.5,63.2,119
"Scioto County, Ohio",8914,2.51,59.9,76.1,83.6,462
"Scott County, Kentucky",2108,2.13,46.2,81.3,74.6,78
"Scott County, Virginia",27875,2.35,58.4,83.1,76.9,196
"Seneca County, Ohio",11732,3.06,74.8,80.6,83,85
"Shelby County, Kentucky",4206,3.14,77.4,78.5,82.9,13
"Shelby County, Ohio",5922,2.25,60.2,78.3,76.4,72
"Shenandoah County, Virginia",70653,2.45,64.1,88.9,74.8,102
"Simpson County, Kentucky",85061,2.63,59,83.9,76.4,13
"Smyth County, Virginia",1764,2.17,54.1,77.6,83,92
"Snyder County, Pennsylvania",12305,2.58,57.4,72,89.5,5
"Somerset County, Pennsylvania",4524,2.67,81.8,93.9,90.2,63
"Southampton County, Virginia",37325,2.49,63.7,81.7,80.8,6
"Spencer County, Kentucky",5667,2.22,43.9,88.9,61.6,3
"Spotsylvania County, Virginia",83498,2.3,48,80.2,75.4,228
"Stafford County, Virginia",42833,2.19,54.6,80.9,80.6,166
"Stark County, Ohio",9890,2.3,63.1,87.5,82.3,274
"Staunton city, Virginia",10408,2.1,55.8,82.7,82.1,23
"Suffolk city, Virginia",30126,2.7,76,84.7,87.1,52
"Sullivan County, Pennsylvania",163944,2.6,68.7,92.5,80.6,3
"Summers County, West Virginia",8546,2.41,63.7,81.2,84.5,13
"Summit County, Ohio",4069,2.09,51.3,93.5,57.2,336
"Surry County, Virginia",10221,2.43,54.6,79.7,72.3,1
"Susquehanna County, Pennsylvania",6219,2.57,68.3,80.4,90.1,13
"Sussex County, Virginia",38730,2.57,68.4,84.9,85.9,9
"Taylor County, Kentucky",10023,2.47,71.6,71.5,90.2,53
"Taylor County, West Virginia",6028,2.3,64.8,73.9,86.2,0
"Tazewell County, Virginia",9824,2.4,67,87.9,92.4,237
